,auc_roc,auc_pr,f1_score,precision,recall,accuracy
logistic_regression,0.8355,0.3725,0.3813,0.0,0.0,0.0
random_forest_baseline,0.8327,0.3598,0.378,0.0,0.0,0.0
xgboost_baseline,0.8372,0.3732,0.3774,0.0,0.0,0.0
lightgbm_baseline,0.8385,0.3758,0.3777,0.0,0.0,0.0
xgboost,0.8359896782656906,0.37131596697548,0.41721563460693895,0.31954254961318534,0.6008855154965211,0.8267510934134081
lightgbm,0.8367566213409527,0.37266435869494513,0.4201133144475921,0.31630585475098644,0.6253426101623445,0.8218334530104228
random_forest,0.830110727753397,0.35993523079941286,0.4082047116165719,0.3006281782829794,0.635673624288425,0.8097787061818656
cnn,0.825994814495802,0.35304302161781576,0.4016256912519155,0.2935904928891486,0.6354627872654438,0.8045781926583545
rnn,0.7722882265800936,0.2808591699221473,0.3158222498999155,0.20013530273988048,0.748471431583386,0.6653175794764671
ensemble,0.8371220819005506,0.37356947599166335,0.37574257425742574,0.24551982920359708,0.8001265022137888,0.7256130730900624
